DepDelay,Distance,Month,DayofMonth,DayOfWeek,ArrDelay,WeatherCondition
55.0,972.0,5,17,2,61.0,Sunny
161.0,1046.0,5,15,7,157.0,Windy
-10.0,472.0,5,24,2,-14.0,Windy
1.0,2300.0,5,25,3,-37.0,Sunny
-6.0,651.0,5,7,6,-5.0,Mostly Sunny
24.0,200.0,5,18,3,32.0,Mostly Sunny
2.0,1046.0,5,16,1,-8.0,Mostly Sunny
-6.0,1829.0,5,27,5,-6.0,Sunny
-9.0,110.0,5,14,6,-17.0,Mostly Sunny
0.0,373.0,5,18,3,-10.0,Windy
-5.0,581.0,5,4,3,-15.0,Mostly Sunny
-4.0,372.0,5,9,1,-9.0,Mostly Sunny
-2.0,534.0,5,15,7,7.0,Windy
-4.0,448.0,5,14,6,-11.0,Mostly Sunny
30.0,1076.0,5,22,7,2.0,Sunny
-8.0,606.0,5,16,1,-29.0,Windy
2.0,416.0,5,15,7,6.0,Mostly Sunny
11.0,957.0,5,7,6,1.0,Sunny
-9.0,644.0,5,1,7,-30.0,Mostly Sunny
-2.0,502.0,5,1,7,-14.0,Windy
36.0,1709.0,5,21,6,34.0,Windy
-5.0,1020.0,5,31,2,-6.0,Windy
-7.0,1010.0,5,20,5,-17.0,Windy
-3.0,1199.0,5,15,7,6.0,Sunny
74.0,2475.0,5,6,5,57.0,Sunny
93.0,1547.0,5,28,6,88.0,Mostly Sunny
98.0,442.0,5,22,7,90.0,Windy
-13.0,248.0,5,11,3,-15.0,Mostly Sunny
-4.0,141.0,5,11,3,-18.0,Windy
-4.0,332.0,5,13,5,-12.0,Mostly Sunny
-7.0,1111.0,5,29,7,-15.0,Windy
-12.0,1050.0,5,16,1,-25.0,Mostly Sunny
48.0,1074.0,5,2,1,72.0,Mostly Sunny
2.0,1014.0,5,13,5,-4.0,Sunny
-1.0,603.0,5,7,6,-6.0,Windy
20.0,955.0,5,9,1,18.0,Mostly Sunny
2.0,1024.0,5,14,6,5.0,Mostly Sunny
24.0,282.0,5,12,4,13.0,Windy
4.0,651.0,5,26,4,-5.0,Windy
2.0,1017.0,5,2,1,26.0,Windy
-15.0,337.0,5,31,2,-12.0,Mostly Sunny
-10.0,1182.0,5,25,3,-20.0,Windy
0.0,996.0,5,6,5,-27.0,Sunny
2.0,480.0,5,16,1,-11.0,Mostly Sunny
-5.0,1437.0,5,7,6,-43.0,Windy
-10.0,566.0,5,8,7,-9.0,Mostly Sunny
0.0,1488.0,5,16,1,4.0,Windy
34.0,603.0,5,17,2,28.0,Windy
1.0,1640.0,5,10,2,-4.0,Mostly Sunny
-4.0,1575.0,5,19,4,-27.0,Windy
-10.0,391.0,5,29,7,-4.0,Mostly Sunny
-12.0,528.0,5,5,4,-22.0,Mostly Sunny
-3.0,756.0,5,16,1,-13.0,Sunny
-5.0,296.0,5,7,6,-37.0,Mostly Sunny
20.0,719.0,5,2,1,7.0,Windy
-1.0,224.0,5,19,4,-6.0,Sunny
288.0,921.0,5,1,7,298.0,Sunny
-6.0,250.0,6,1,3,-5.0,Partly Cloudy
141.0,373.0,6,10,5,145.0,Partly Cloudy
-2.0,163.0,6,26,7,-3.0,Sunny
16.0,762.0,6,15,3,5.0,Sunny
106.0,396.0,6,2,4,109.0,Partly Cloudy
31.0,632.0,6,23,4,27.0,Sunny
-4.0,1272.0,6,10,5,-8.0,Sunny
-6.0,794.0,6,7,2,-6.0,Partly Cloudy
-7.0,2398.0,6,20,1,-21.0,Sunny
1.0,1020.0,6,29,3,-8.0,Partly Cloudy
0.0,680.0,6,23,4,-3.0,Partly Cloudy
-7.0,420.0,6,20,1,-11.0,Sunny
-3.0,919.0,6,12,7,34.0,Partly Cloudy
-2.0,237.0,6,16,4,-6.0,Sunny
-3.0,740.0,6,30,4,-15.0,Partly Cloudy
-3.0,550.0,6,3,5,-17.0,Partly Cloudy
19.0,867.0,6,20,1,3.0,Partly Cloudy
3.0,679.0,6,16,4,-10.0,Sunny
2.0,2075.0,6,30,4,-26.0,Sunny
-7.0,284.0,6,9,4,-9.0,Partly Cloudy
56.0,1620.0,6,7,2,12.0,Partly Cloudy
-5.0,93.0,6,8,3,-14.0,Sunny
-10.0,354.0,6,17,5,-17.0,Sunny
31.0,192.0,6,6,1,98.0,Sunny
6.0,1192.0,6,14,2,7.0,Partly Cloudy
19.0,1739.0,6,6,1,2.0,Partly Cloudy
9.0,298.0,6,5,7,19.0,Partly Cloudy
170.0,854.0,6,6,1,156.0,Partly Cloudy
1.0,895.0,6,26,7,12.0,Partly Cloudy
31.0,404.0,6,7,2,32.0,Partly Cloudy
-2.0,1162.0,6,24,5,0.0,Partly Cloudy
-11.0,2845.0,6,4,6,-25.0,Sunny
-5.0,446.0,6,8,3,-9.0,Partly Cloudy
167.0,1797.0,6,10,5,158.0,Partly Cloudy
-5.0,222.0,6,14,2,-20.0,Sunny
7.0,1175.0,6,24,5,1.0,Partly Cloudy
-10.0,282.0,6,5,7,-20.0,Partly Cloudy
0.0,528.0,6,19,7,-9.0,Sunny
39.0,599.0,6,14,2,47.0,Sunny
52.0,575.0,6,14,2,46.0,Sunny
-2.0,341.0,6,27,1,-7.0,Sunny
-9.0,708.0,6,27,1,-10.0,Sunny
-4.0,403.0,6,3,5,-8.0,Sunny
-3.0,663.0,6,22,3,-9.0,Sunny
3.0,100.0,6,24,5,-3.0,Sunny
5.0,682.0,6,12,7,-13.0,Sunny
-8.0,1042.0,6,9,4,-12.0,Sunny
-4.0,230.0,6,27,1,-18.0,Partly Cloudy
-7.0,163.0,6,26,7,-8.0,Sunny
-11.0,562.0,6,23,4,-12.0,Partly Cloudy
0.0,2762.0,6,16,4,10.0,Sunny
13.0,592.0,6,27,1,20.0,Sunny
-6.0,413.0,6,18,6,-23.0,Partly Cloudy
-2.0,563.0,6,29,3,-12.0,Sunny
42.0,1050.0,6,5,7,21.0,Sunny
-4.0,861.0,6,2,4,-6.0,Partly Cloudy
106.0,573.0,6,10,5,80.0,Sunny
-6.0,594.0,6,20,1,-14.0,Sunny
-4.0,553.0,6,23,4,-13.0,Partly Cloudy
40.0,612.0,6,14,2,41.0,Sunny
-10.0,1726.0,6,8,3,3.0,Partly Cloudy
-8.0,629.0,6,8,3,-28.0,Partly Cloudy
22.0,224.0,6,18,6,13.0,Sunny
-2.0,280.0,6,7,2,-25.0,Sunny
26.0,371.0,6,19,7,39.0,Partly Cloudy
-11.0,397.0,6,26,7,-9.0,Partly Cloudy
-1.0,969.0,6,9,4,13.0,Sunny
15.0,349.0,6,24,5,22.0,Sunny
-1.0,227.0,6,6,1,6.0,Partly Cloudy
-5.0,89.0,6,13,1,-1.0,Sunny
0.0,1476.0,7,21,4,-12.0,Mostly Sunny
-4.0,349.0,7,7,4,-15.0,Sunny
-4.0,1276.0,7,11,1,-2.0,Mostly Sunny
-3.0,874.0,7,7,4,-13.0,Mostly Sunny
-9.0,308.0,7,22,5,-18.0,Mostly Sunny
-3.0,258.0,7,9,6,-17.0,Sunny
-2.0,1660.0,7,1,5,-7.0,Sunny
40.0,765.0,7,2,6,71.0,Mostly Sunny
-3.0,208.0,7,31,7,-16.0,Sunny
-3.0,318.0,7,10,7,-16.0,Mostly Sunny
-4.0,175.0,7,12,2,-4.0,Mostly Sunny
95.0,177.0,7,24,7,191.0,Sunny
-5.0,399.0,7,30,6,-22.0,Mostly Sunny
-2.0,1062.0,7,6,3,-5.0,Sunny
39.0,721.0,7,29,5,37.0,Mostly Sunny
128.0,1389.0,7,28,4,131.0,Sunny
-4.0,626.0,7,8,5,1.0,Mostly Sunny
0.0,1076.0,7,1,5,30.0,Sunny
13.0,836.0,7,21,4,-1.0,Mostly Sunny
25.0,948.0,7,15,5,17.0,Mostly Sunny
17.0,100.0,7,8,5,16.0,Sunny
-6.0,1542.0,7,10,7,-27.0,Sunny
176.0,888.0,7,4,1,158.0,Mostly Sunny
-9.0,301.0,7,16,6,-26.0,Mostly Sunny
-5.0,358.0,7,26,2,-8.0,Sunny
87.0,889.0,7,15,5,78.0,Sunny
11.0,946.0,7,9,6,22.0,Sunny
-1.0,347.0,7,12,2,-12.0,Mostly Sunny
-3.0,2253.0,7,25,1,-21.0,Mostly Sunny
39.0,623.0,7,13,3,23.0,Mostly Sunny
-4.0,190.0,7,8,5,-10.0,Mostly Sunny
-8.0,677.0,7,27,3,-11.0,Sunny
-3.0,158.0,7,19,2,-4.0,Mostly Sunny
-3.0,2300.0,7,20,3,-15.0,Sunny
-9.0,277.0,7,17,7,-11.0,Mostly Sunny
-2.0,192.0,7,19,2,32.0,Mostly Sunny
6.0,646.0,7,4,1,-7.0,Mostly Sunny
-4.0,488.0,7,7,4,-15.0,Mostly Sunny
-3.0,301.0,7,6,3,-5.0,Sunny
-4.0,84.0,7,14,4,-6.0,Sunny
85.0,544.0,7,15,5,186.0,Sunny
11.0,1670.0,7,24,7,10.0,Mostly Sunny
-8.0,2172.0,7,31,7,-22.0,Sunny
-7.0,2504.0,7,22,5,-20.0,Sunny
-3.0,1639.0,7,2,6,1.0,Sunny
4.0,2417.0,7,30,6,1.0,Sunny
-5.0,541.0,7,16,6,-23.0,Mostly Sunny
-3.0,157.0,7,31,7,6.0,Mostly Sunny
-11.0,653.0,7,23,6,-24.0,Sunny
-2.0,1050.0,7,11,1,10.0,Mostly Sunny
-3.0,888.0,7,14,4,-6.0,Sunny
-3.0,901.0,7,31,7,-17.0,Sunny
263.0,1188.0,7,13,3,256.0,Sunny
7.0,955.0,7,4,1,1.0,Sunny
-10.0,846.0,7,10,7,-21.0,Mostly Sunny
-4.0,2300.0,7,16,6,5.0,Sunny
65.0,1440.0,7,30,6,72.0,Sunny
13.0,583.0,7,1,5,14.0,Mostly Sunny
0.0,301.0,7,15,5,-2.0,Sunny
-1.0,2475.0,7,6,3,26.0,Mostly Sunny
2.0,591.0,7,17,7,20.0,Sunny
-2.0,980.0,7,31,7,-12.0,Mostly Sunny
-8.0,397.0,7,9,6,-14.0,Mostly Sunny
-3.0,1156.0,7,28,4,-12.0,Mostly Sunny
4.0,366.0,7,26,2,-2.0,Sunny
-8.0,296.0,7,14,4,-24.0,Sunny
-3.0,1121.0,7,5,2,-4.0,Mostly Sunny
-1.0,216.0,7,30,6,3.0,Sunny
-3.0,571.0,7,20,3,-2.0,Mostly Sunny
35.0,825.0,7,19,2,21.0,Sunny
